Stage	Order	Question	Answer	Example	Tags	Difficulty
1_prereq	1	What is a pandas DataFrame?	A 2D table of rows and columns	df = pd.read_csv("titanic.csv")	pandas,basics	easy
1_prereq	2	What is a pandas Series?	A 1D labeled array (often one DataFrame column)	df["Age"] returns a Series	pandas,basics	easy
1_prereq	3	What is a boolean value?	True or False	x > 3 returns True or False	python,basics	easy
1_prereq	4	What is a boolean Series?	A Series of True/False values (one per row)	mask = df["Age"] > 30	pandas,boolean	easy
1_prereq	5	What does df["Age"] > 30 return?	A boolean Series (True/False per row)	Returns Series([False, True, True, False...])	pandas,boolean	easy
1_prereq	6	What is a boolean mask?	A boolean Series used to filter rows	mask = df["Age"] > 30; df[mask]	pandas,boolean,filtering	easy
1_prereq	7	How do you filter a DataFrame with a boolean mask?	df[mask]	df[df["Age"] > 30]	pandas,filtering	easy
1_prereq	8	What must be true about mask length?	len(mask) must equal number of DataFrame rows	If df has 100 rows, mask must have 100 True/False values	pandas,filtering	medium
1_prereq	9	AND operator for pandas conditions?	& (ampersand, not 'and')	df[(df["Age"]>30) & (df["City"]=="NY")]	pandas,boolean	medium
1_prereq	10	OR operator for pandas conditions?	| (pipe, not 'or')	df[(df["Age"]>30) | (df["City"]=="LA")]	pandas,boolean	medium
1_prereq	11	NOT operator for pandas boolean masks?	~ (tilde)	df[~(df["Age"]>30)] keeps Age <= 30	pandas,boolean	medium
1_prereq	12	Why parentheses around each condition with & or |?	Operator precedence requires them	Without parens: df["Age"]>30 & df["City"]=="NY" fails	pandas,boolean	medium
1_prereq	13	What does .isin(...) return?	A boolean Series (membership test)	df["Name"].isin(["Alice","Bob"]) returns True/False per row	pandas,boolean	easy
1_prereq	14	How to filter rows where Name is in a list?	df[df["Name"].isin(list)]	df[df["Name"].isin(["Alice","Bob"])]	pandas,filtering	easy
1_prereq	15	How to filter rows where Name is NOT in a list?	df[~df["Name"].isin(list)]	df[~df["Name"].isin(["Alice","Bob"])]	pandas,filtering	medium
1_prereq	16	What does df["Name"].str.contains("John") return?	A boolean Series (substring test)	Returns True if "John" appears anywhere in name	pandas,strings,boolean	medium
1_prereq	17	How do you make str.contains safe with nulls?	Use na=False parameter	df["Name"].str.contains("John", na=False)	pandas,strings,nulls	medium
1_prereq	18	How do you make str.contains case-insensitive?	Use case=False parameter	df["Name"].str.contains("john", case=False, na=False)	pandas,strings	medium
1_prereq	19	When do you use .str before a pandas method?	When operating on the text content of values	df["Name"].str.strip() - operating on text	pandas,strings	medium
1_prereq	20	When do you skip .str before a pandas method?	When asking about the Series itself (not text content)	df["Name"].isna() - asking about cells, not text	pandas,strings	medium
1_prereq	21	What does isna() return?	A boolean Series showing which values are null	df["Age"].isna() returns True for nulls	pandas,nulls,boolean	easy
1_prereq	22	What is the difference between isna() and isnull()?	They are identical (aliases)	Use isna() for consistency with fillna/dropna	pandas,nulls	easy
1_prereq	23	What is forward fill (ffill)?	Fill missing values using previous non-missing value	[1, NaN, NaN, 4] becomes [1, 1, 1, 4]	pandas,nulls	medium
1_prereq	24	How do you forward fill a Series?	series.ffill()	df["Age"] = df["Age"].ffill()	pandas,nulls	medium
1_prereq	25	What is df.merge(...) used for?	Join two DataFrames by matching keys	people.merge(status, on="Email", how="left")	pandas,merging	easy
1_prereq	26	What does on="Email" mean in merge?	Match rows where Email values are equal in both DataFrames	Like JOIN ON in SQL	pandas,merging	easy
1_prereq	27	What does how="left" mean in merge?	Keep all left rows; add matching data from right	Like LEFT JOIN in SQL or VLOOKUP	pandas,merging	easy
1_prereq	28	What does how="inner" mean in merge?	Keep only rows matched in both tables	Like INNER JOIN in SQL	pandas,merging	medium
1_prereq	29	What is groupby in pandas?	Split rows into groups by key(s), then aggregate	df.groupby("Dept")["Salary"].mean()	pandas,groupby	easy
1_prereq	30	How do you count rows per group?	.groupby(...).size()	df.groupby("Dept").size()	pandas,groupby	easy
1_prereq	31	How do you get mean of a column per group?	.groupby(...)[col].mean()	df.groupby("Dept")["Salary"].mean()	pandas,groupby	medium
1_prereq	32	Why does groupby often produce an index?	Group keys become the index by default	Department names become row labels	pandas,groupby	medium
1_prereq	33	What does reset_index() do after groupby?	Moves index back into a regular column	Makes grouped data flat again	pandas,groupby	medium
1_prereq	34	What is SettingWithCopyWarning?	Warning you may be modifying a slice (view) not the original	sub = df[df["Age"]>30]; sub["X"]=1 triggers it	pandas,gotchas	high
1_prereq	35	Safe fix for SettingWithCopyWarning using .loc?	Use .loc on the original DataFrame	df.loc[df["Age"]>30, "X"] = 1	pandas,gotchas	high
1_prereq	36	Safe fix for SettingWithCopyWarning using .copy()?	Make an explicit copy first	sub = df[df["Age"]>30].copy(); sub["X"]=1	pandas,gotchas	high
1_structures	1	What is a list in Python?	An ordered, mutable collection of items	my_list = [1, 2, 3, 4]	python,basics,structures	easy
1_structures	2	What is a list of lists?	A list where each item is itself a list (2D structure)	grid = [[1,2], [3,4], [5,6]]	python,structures	easy
1_structures	3	How do you access an item in a list of lists?	grid[row_index][column_index]	grid[0][1] gets first row, second column	python,structures	medium
1_structures	4	Are lists zero-indexed or one-indexed?	Zero-indexed (first item is index 0)	my_list[0] is first item	python,basics	easy
